[16-5-2014 09:39:48] Loaded CFG file c:\TimetrackerMonitor\config.txt
[16-5-2014 11:59:20] Monitored ON time: 39
[16-5-2014 12:00:20] Tracker is counting time.
[16-5-2014 12:00:20] Monitored ON time: 40
[16-5-2014 12:01:20] Tracker is counting time.
[16-5-2014 12:01:21] Monitored ON time: 41
[16-5-2014 12:02:21] Tracker is counting time.
[16-5-2014 12:02:21] Monitored ON time: 42
[16-5-2014 12:03:21] Tracker is counting time.
[16-5-2014 12:03:21] Monitored ON time: 43
[16-5-2014 12:04:22] Tracker is counting time.
[16-5-2014 12:04:22] Monitored ON time: 44
[16-5-2014 12:05:22] Tracker is counting time.
[16-5-2014 12:05:22] Monitored ON time: 45
[16-5-2014 12:06:22] Tracker is counting time.
[16-5-2014 12:06:23] Monitored ON time: 46
[16-5-2014 12:07:23] Tracker is counting time.
[16-5-2014 12:07:23] Monitored ON time: 47
[16-5-2014 12:08:23] Tracker is counting time.
[16-5-2014 12:08:23] Monitored ON time: 48
[16-5-2014 12:09:24] Tracker is counting time.
[16-5-2014 12:09:24] Monitored ON time: 49
[16-5-2014 12:10:24] Tracker is counting time.
[16-5-2014 12:10:24] Monitored ON time: 50
[16-5-2014 12:11:25] Tracker is counting time.
[16-5-2014 12:11:25] Monitored ON time: 51
[16-5-2014 12:12:25] Tracker is counting time.
[16-5-2014 12:12:25] Monitored ON time: 52
[16-5-2014 12:13:25] Tracker is counting time.
[16-5-2014 12:13:25] Monitored ON time: 53
[16-5-2014 12:14:26] Tracker is counting time.
[16-5-2014 12:14:26] Monitored ON time: 54
[16-5-2014 12:15:26] Tracker is counting time.
[16-5-2014 12:15:26] Monitored ON time: 55
[16-5-2014 12:16:27] Tracker is counting time.
[16-5-2014 12:16:27] Monitored ON time: 56
[16-5-2014 12:17:27] Tracker is counting time.
[16-5-2014 12:17:27] Monitored ON time: 57
[16-5-2014 12:18:27] Tracker is counting time.
[16-5-2014 12:18:27] Monitored ON time: 58
[16-5-2014 12:19:28] Tracker is counting time.
[16-5-2014 12:19:28] Monitored ON time: 59
[16-5-2014 12:19:28] GOTO Pray :)
[16-5-2014 12:20:31] Tracker is counting time.
[16-5-2014 12:20:31] Monitored ON time: 60
[16-5-2014 12:21:32] Tracker is counting time.
[16-5-2014 12:21:32] Monitored ON time: 61
[16-5-2014 12:22:32] Tracker is counting time.
[16-5-2014 12:22:32] Monitored ON time: 62
[16-5-2014 12:23:33] Tracker is counting time.
[16-5-2014 12:23:33] Monitored ON time: 63
[16-5-2014 12:24:33] Tracker is counting time.
[16-5-2014 12:24:33] Monitored ON time: 64
[16-5-2014 12:25:33] Tracker is counting time.
[16-5-2014 12:25:33] Monitored ON time: 65
[16-5-2014 12:26:34] Tracker is counting time.
[16-5-2014 12:26:34] Monitored ON time: 66
[16-5-2014 12:27:34] Tracker is counting time.
[16-5-2014 12:27:34] Monitored ON time: 67
[16-5-2014 12:28:35] Tracker is counting time.
[16-5-2014 12:28:35] Monitored ON time: 68
[16-5-2014 12:29:35] Tracker is counting time.
[16-5-2014 12:29:35] Monitored ON time: 69
[16-5-2014 12:30:35] Tracker is counting time.
[16-5-2014 12:30:35] Monitored ON time: 70
[16-5-2014 12:31:36] Tracker is counting time.
[16-5-2014 12:31:36] Monitored ON time: 71
[16-5-2014 12:32:36] Tracker is counting time.
[16-5-2014 12:32:36] Monitored ON time: 72
[16-5-2014 12:33:37] Tracker is counting time.
[16-5-2014 12:33:37] Monitored ON time: 73
[16-5-2014 12:34:37] Tracker is counting time.
[16-5-2014 12:34:37] Monitored ON time: 74
[16-5-2014 12:35:37] Tracker is counting time.
[16-5-2014 12:35:37] Monitored ON time: 75
[16-5-2014 12:36:38] Tracker is counting time.
[16-5-2014 12:36:38] Monitored ON time: 76
[16-5-2014 12:37:38] Tracker is counting time.
[16-5-2014 12:37:38] Monitored ON time: 77
[16-5-2014 12:38:39] Tracker is counting time.
[16-5-2014 12:38:39] Monitored ON time: 78
[16-5-2014 12:39:39] Tracker is counting time.
[16-5-2014 12:39:39] Monitored ON time: 79
[16-5-2014 12:40:39] Tracker is counting time.
[16-5-2014 12:40:39] Monitored ON time: 80
[16-5-2014 12:41:40] Tracker is counting time.
[16-5-2014 12:41:40] Monitored ON time: 81
[16-5-2014 12:42:40] Tracker is counting time.
[16-5-2014 12:42:40] Monitored ON time: 82
[16-5-2014 12:43:41] Tracker is counting time.
